LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000718251-0001-1,KILLER PIZZA ENTERPRISES INC,,11633 SAN VICENTE BLVD #104,LOS ANGELES,90049-6512,11633 SAN VICENTE 90049-6512,11812 SAN VICENTE BLVD #200,LOS ANGELES,90049-6622,722110,Full-service restaurants,11,02/21/1989,,"(34.0539, -118.4631)"
0002454501-0002-4,LA BELLA PIZZA INC,PRONTO PIZZA,14712 PARTHENIA STREET UNIT #A1,PANORAMA CITY,91402-2992,14712 PARTHENIA 91402-2992,681 S BEACH BLVD,LA HABRA,90631-5877,722211,Limited-service eating places,6,04/01/2011,,"(34.228, -118.4537)"
0000016662-0001-9,BEACH PIZZA INC,BEACH PIZZA,8601 LINCOLN BLVD,WESTCHESTER,90045-3554,8601 LINCOLN 90045-3554,,,,722110,Full-service restaurants,11,11/05/1992,,"(33.9597, -118.4193)"
0002375344-0051-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26209,4629 SANTA MONICA BLVD # 2,LOS ANGELES,90029-1803,4629 SANTA MONICA 90029-1803,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,13,08/25/2009,,"(34.0908, -118.2898)"
0000965686-0001-8,LA PIZZA LOCA INC,LA PIZZA LOCA INC #32,9792 LAUREL CANYON BLVD,PACOIMA,91331-4183,9792 LAUREL CANYON 91331-4183,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,7,06/01/1999,,"(34.2477, -118.4204)"
0002477950-0001-7,PEPE'S NY PIZZA INC,,11946 VENTURA BLVD,STUDIO CITY,91604-2606,11946 VENTURA 91604-2606,,,,722110,Full-service restaurants,2,01/07/2010,,"(34.1432, -118.392)"
0000013854-0002-7,LA PIZZA LOCA INC,LA PIZZA LOCA INC #87,7608 VINELAND AVENUE,SUN VALLEY,91352-4535,7608 VINELAND 91352-4535,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722211,Limited-service eating places,2,09/28/2009,,"(34.2086, -118.3703)"
0002375344-0028-4,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26190,14500 NORDHOFF STREET,PANORAMA CITY,91402-1811,14500 NORDHOFF 91402-1811,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,6,08/25/2009,,"(34.2354, -118.4481)"
0002375344-0047-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26198,5839 YORK BLVD,HIGHLAND PARK,90042-2634,5839 YORK 90042-2634,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,14,08/25/2009,,"(34.1185, -118.1916)"
0000063303-0001-7,M & N PIZZA & PASTA INC,AMECI IN & OUT PIZZA & PASTA,19803 VENTURA BLVD,WOODLAND HILLS,91364-2627,19803 VENTURA 91364-2627,,,,722110,Full-service restaurants,3,04/23/1992,,"(34.1724, -118.5638)"
0000814676-0001-0,P & R PIZZA MART INC,2 FOR 1 PIZZA,21608 ROSCOE BLVD,CANOGA PARK,91304-4146,21608 ROSCOE 91304,,,,722110,Full-service restaurants,3,06/15/1996,,"(34.2197, -118.6003)"
0000692835-0001-2,D & L PIZZA INC,DOMINO'S PIZZA,6805 SEPULVEDA BLVD,VAN NUYS,91405-4402,6805 SEPULVEDA 91405-4402,330 6TH STREET SUITE #103,REDLANDS,92374-3312,722110,Full-service restaurants,6,08/04/1988,,"(34.1939, -118.4661)"
0000013764-0001-4,LA PIZZA LOCA INC #36,,252 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,90011-2651,252 MARTIN LUTHER KING JR 90011-2651,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,9,02/29/2000,,"(34.0111, -118.2697)"
